dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1686193200,"{'temp': 295.33, 'feels_like': 294.44, 'temp_min': 293.8, 'temp_max': 295.33, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 32, 'temp_kf': 1.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 75},"{'speed': 3.01, 'deg': 285, 'gust': 3.54}",10000,0.14,{'pod': 'd'},2023-06-08 03:00:00,
1686204000,"{'temp': 293.32, 'feels_like': 292.49, 'temp_min': 289.3, 'temp_max': 293.32, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 863, 'humidity': 42, 'temp_kf': 4.02}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 79},"{'speed': 3.76, 'deg': 278, 'gust': 4.69}",10000,0.08,{'pod': 'n'},2023-06-08 06:00:00,
1686214800,"{'temp': 289.83, 'feels_like': 289.07, 'temp_min': 287.08, 'temp_max': 289.83, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 58, 'temp_kf': 2.75}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 91},"{'speed': 2.31, 'deg': 287, 'gust': 2.69}",10000,0.31,{'pod': 'n'},2023-06-08 09:00:00,{'3h': 0.12}
1686225600,"{'temp': 286.55, 'feels_like': 285.75, 'temp_min': 286.55, 'temp_max': 286.55, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 862, 'humidity': 69, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 99},"{'speed': 1.96, 'deg': 290, 'gust': 2.09}",10000,0.1,{'pod': 'n'},2023-06-08 12:00:00,
1686236400,"{'temp': 288.62, 'feels_like': 287.79, 'temp_min': 288.62, 'temp_max': 288.62, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 864, 'humidity': 60, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 1.67, 'deg': 311, 'gust': 1.85}",10000,0.33,{'pod': 'd'},2023-06-08 15:00:00,{'3h': 0.23}
1686247200,"{'temp': 293.25, 'feels_like': 292.41, 'temp_min': 293.25, 'temp_max': 293.25, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 865, 'humidity': 42, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 94},"{'speed': 1.57, 'deg': 60, 'gust': 1.96}",10000,0.24,{'pod': 'd'},2023-06-08 18:00:00,
1686258000,"{'temp': 295.8, 'feels_like': 295.01, 'temp_min': 295.8, 'temp_max': 295.8, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 864, 'humidity': 34, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 59},"{'speed': 1.34, 'deg': 162, 'gust': 2.62}",10000,0.28,{'pod': 'd'},2023-06-08 21:00:00,{'3h': 0.41}
1686268800,"{'temp': 289.64, 'feels_like': 288.94, 'temp_min': 289.64, 'temp_max': 289.64, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 61, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 78},"{'speed': 5.75, 'deg': 235, 'gust': 7.88}",10000,0.73,{'pod': 'd'},2023-06-09 00:00:00,{'3h': 2.81}
1686279600,"{'temp': 289.48, 'feels_like': 288.89, 'temp_min': 289.48, 'temp_max': 289.48, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 864, 'humidity': 66, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 1.83, 'deg': 328, 'gust': 3.54}",10000,0.87,{'pod': 'd'},2023-06-09 03:00:00,{'3h': 0.87}
1686290400,"{'temp': 287.56, 'feels_like': 286.99, 'temp_min': 287.56, 'temp_max': 287.56, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 865, 'humidity': 74, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 94},"{'speed': 2.36, 'deg': 233, 'gust': 2.41}",10000,0.69,{'pod': 'n'},2023-06-09 06:00:00,
1686301200,"{'temp': 285.9, 'feels_like': 285.24, 'temp_min': 285.9, 'temp_max': 285.9, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 864, 'humidity': 77, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 89},"{'speed': 2.46, 'deg': 239, 'gust': 2.5}",10000,0.03,{'pod': 'n'},2023-06-09 09:00:00,
1686312000,"{'temp': 284.93, 'feels_like': 284.15, 'temp_min': 284.93, 'temp_max': 284.93, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 863, 'humidity': 76, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 93},"{'speed': 2.28, 'deg': 244, 'gust': 2.27}",10000,0.04,{'pod': 'n'},2023-06-09 12:00:00,
1686322800,"{'temp': 287.64, 'feels_like': 286.79, 'temp_min': 287.64, 'temp_max': 287.64, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 864, 'humidity': 63, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 99},"{'speed': 1.56, 'deg': 255, 'gust': 1.93}",10000,0.01,{'pod': 'd'},2023-06-09 15:00:00,
1686333600,"{'temp': 292.62, 'feels_like': 291.72, 'temp_min': 292.62, 'temp_max': 292.62, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 865, 'humidity': 42, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 93},"{'speed': 1.38, 'deg': 297, 'gust': 3.67}",10000,0.01,{'pod': 'd'},2023-06-09 18:00:00,
1686344400,"{'temp': 296.63, 'feels_like': 295.71, 'temp_min': 296.63, 'temp_max': 296.63, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 864, 'humidity': 26, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 81},"{'speed': 2.39, 'deg': 255, 'gust': 4.35}",10000,0.01,{'pod': 'd'},2023-06-09 21:00:00,
1686355200,"{'temp': 296.02, 'feels_like': 295.07, 'temp_min': 296.02, 'temp_max': 296.02, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 863, 'humidity': 27, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 90},"{'speed': 6.35, 'deg': 266, 'gust': 4.52}",10000,0.01,{'pod': 'd'},2023-06-10 00:00:00,
1686366000,"{'temp': 291.62, 'feels_like': 290.57, 'temp_min': 291.62, 'temp_max': 291.62, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 863, 'humidity': 40, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 3.99, 'deg': 277, 'gust': 4.76}",10000,0.04,{'pod': 'd'},2023-06-10 03:00:00,
1686376800,"{'temp': 288.81, 'feels_like': 287.71, 'temp_min': 288.81, 'temp_max': 288.81, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 864, 'humidity': 49, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 97},"{'speed': 2.07, 'deg': 261, 'gust': 2.18}",10000,0.04,{'pod': 'n'},2023-06-10 06:00:00,
1686387600,"{'temp': 287.64, 'feels_like': 286.5, 'temp_min': 287.64, 'temp_max': 287.64, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 862, 'humidity': 52, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 1.49, 'deg': 272, 'gust': 1.47}",10000,0.06,{'pod': 'n'},2023-06-10 09:00:00,
1686398400,"{'temp': 287.65, 'feels_like': 286.44, 'temp_min': 287.65, 'temp_max': 287.65, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 49, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 99},"{'speed': 1.68, 'deg': 307, 'gust': 1.86}",10000,0.09,{'pod': 'n'},2023-06-10 12:00:00,
1686409200,"{'temp': 288.53, 'feels_like': 287.32, 'temp_min': 288.53, 'temp_max': 288.53, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 46, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 1.8, 'deg': 2, 'gust': 2.24}",10000,0.28,{'pod': 'd'},2023-06-10 15:00:00,
1686420000,"{'temp': 289.93, 'feels_like': 288.97, 'temp_min': 289.93, 'temp_max': 289.93, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 50, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 1.61, 'deg': 22, 'gust': 3.04}",10000,0.39,{'pod': 'd'},2023-06-10 18:00:00,{'3h': 0.12}
1686430800,"{'temp': 288.4, 'feels_like': 287.94, 'temp_min': 288.4, 'temp_max': 288.4, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 862, 'humidity': 75, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 3.29, 'deg': 212, 'gust': 3.99}",6573,0.84,{'pod': 'd'},2023-06-10 21:00:00,{'3h': 3.54}
1686441600,"{'temp': 289.77, 'feels_like': 289.05, 'temp_min': 289.77, 'temp_max': 289.77, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 860, 'humidity': 60, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 2.61, 'deg': 261, 'gust': 2.6}",10000,0.99,{'pod': 'd'},2023-06-11 00:00:00,{'3h': 2.2}
1686452400,"{'temp': 288.05, 'feels_like': 287.5, 'temp_min': 288.05, 'temp_max': 288.05, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 861, 'humidity': 73, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 2.82, 'deg': 355, 'gust': 3.41}",9575,0.86,{'pod': 'd'},2023-06-11 03:00:00,{'3h': 0.76}
1686463200,"{'temp': 287.03, 'feels_like': 286.43, 'temp_min': 287.03, 'temp_max': 287.03, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 861, 'humidity': 75, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 99},"{'speed': 1.11, 'deg': 250, 'gust': 1.37}",10000,0.9,{'pod': 'n'},2023-06-11 06:00:00,{'3h': 1.64}
1686474000,"{'temp': 286.8, 'feels_like': 286.26, 'temp_min': 286.8, 'temp_max': 286.8, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 860, 'humidity': 78, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 1.76, 'deg': 348, 'gust': 2.6}",10000,0.42,{'pod': 'n'},2023-06-11 09:00:00,{'3h': 0.27}
1686484800,"{'temp': 285.59, 'feels_like': 285.06, 'temp_min': 285.59, 'temp_max': 285.59, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 860, 'humidity': 83, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 0.23, 'deg': 321, 'gust': 0.64}",10000,0.16,{'pod': 'n'},2023-06-11 12:00:00,
1686495600,"{'temp': 287.73, 'feels_like': 287.18, 'temp_min': 287.73, 'temp_max': 287.73, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 861, 'humidity': 74, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 81},"{'speed': 1.01, 'deg': 39, 'gust': 1.23}",10000,0.0,{'pod': 'd'},2023-06-11 15:00:00,
1686506400,"{'temp': 291.28, 'feels_like': 290.64, 'temp_min': 291.28, 'temp_max': 291.28, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 862, 'humidity': 57, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 79},"{'speed': 2.21, 'deg': 60, 'gust': 3.24}",10000,0.06,{'pod': 'd'},2023-06-11 18:00:00,
1686517200,"{'temp': 294.91, 'feels_like': 294.21, 'temp_min': 294.91, 'temp_max': 294.91, 'pressure': 1007, 'sea_level': 1007, 'grnd_level': 861, 'humidity': 41, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 1.35, 'deg': 57, 'gust': 3.25}",10000,0.47,{'pod': 'd'},2023-06-11 21:00:00,{'3h': 0.15}
1686528000,"{'temp': 296.17, 'feels_like': 295.42, 'temp_min': 296.17, 'temp_max': 296.17, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 860, 'humidity': 34, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 89},"{'speed': 3.55, 'deg': 354, 'gust': 4.73}",10000,0.43,{'pod': 'd'},2023-06-12 00:00:00,{'3h': 0.45}
1686538800,"{'temp': 292.97, 'feels_like': 292.29, 'temp_min': 292.97, 'temp_max': 292.97, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 860, 'humidity': 49, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 74},"{'speed': 0.18, 'deg': 302, 'gust': 4.21}",10000,0.85,{'pod': 'd'},2023-06-12 03:00:00,{'3h': 0.32}
1686549600,"{'temp': 287.19, 'feels_like': 286.87, 'temp_min': 287.19, 'temp_max': 287.19, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 862, 'humidity': 85, 'temp_kf': 0}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'all': 87},"{'speed': 2.81, 'deg': 203, 'gust': 3.14}",10000,1.0,{'pod': 'n'},2023-06-12 06:00:00,{'3h': 13.43}
1686560400,"{'temp': 285.34, 'feels_like': 284.81, 'temp_min': 285.34, 'temp_max': 285.34, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 861, 'humidity': 84, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 100},"{'speed': 3.45, 'deg': 225, 'gust': 3.88}",10000,1.0,{'pod': 'n'},2023-06-12 09:00:00,{'3h': 4.27}
1686571200,"{'temp': 286.11, 'feels_like': 285.5, 'temp_min': 286.11, 'temp_max': 286.11, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 861, 'humidity': 78, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 99},"{'speed': 1.73, 'deg': 247, 'gust': 2.11}",10000,0.96,{'pod': 'n'},2023-06-12 12:00:00,{'3h': 1.24}
1686582000,"{'temp': 286.94, 'feels_like': 286.41, 'temp_min': 286.94, 'temp_max': 286.94, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 862, 'humidity': 78, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 98},"{'speed': 1.56, 'deg': 282, 'gust': 2.08}",10000,0.56,{'pod': 'd'},2023-06-12 15:00:00,{'3h': 0.6}
1686592800,"{'temp': 289.12, 'feels_like': 288.65, 'temp_min': 289.12, 'temp_max': 289.12, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 72, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 98},"{'speed': 2.58, 'deg': 272, 'gust': 3.51}",10000,0.79,{'pod': 'd'},2023-06-12 18:00:00,{'3h': 1}
1686603600,"{'temp': 288.89, 'feels_like': 288.53, 'temp_min': 288.89, 'temp_max': 288.89, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 863, 'humidity': 77, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 0.91, 'deg': 270, 'gust': 1.79}",10000,1.0,{'pod': 'd'},2023-06-12 21:00:00,{'3h': 2.78}
1686614400,"{'temp': 288.61, 'feels_like': 288.14, 'temp_min': 288.61, 'temp_max': 288.61, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 864, 'humidity': 74, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 96},"{'speed': 3, 'deg': 240, 'gust': 3.15}",10000,1.0,{'pod': 'd'},2023-06-13 00:00:00,{'3h': 6.6}
